 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
41,CT16,11,0022,5.15065279514,6,"[(240.339427609373, 178.348174446193, 19.6714602496796), (235.421422414714, 162.034128371696, 19.7970215840077), (258.19926991698, 189.779591296271, 19.5599063046159), (234.784246285225, 196.003004020233, 21.081429083904), (217.552988884034, 215.13963197754, 22.7763824687041), (265.038548976109, 202.005971236824, 20.4166806711649)]","[23.858106228846815, 13.72509729101108, 13.223998316380348, 30.336055522052146, 4.619955451362594, 5.314517455117427]","[(314.658338981432, 329.39087420736, 20.5538505961925), (298.346821327859, 275.488472837457, 20.5046064219481), (285.142134075514, 343.976376348549, 20.7926293331153), (323.282540998081, 313.630129053277, 19.5744763612551), (261.109166155983, 289.501555772689, 22.2305366888605), (272.297535783208, 285.217286443726, 20.2404470056079)]","[122.09157766830349, 69.03824190285187, 122.5671253228552, 114.48445646941518, 63.58439112951078, 62.94492066417988]"
42,CT16,11,0022,9.45006302077,6,"[(240.339427609373, 178.348174446193, 19.6714602496796), (235.421422414714, 162.034128371696, 19.7970215840077), (258.19926991698, 189.779591296271, 19.5599063046159), (234.784246285225, 196.003004020233, 21.081429083904), (217.552988884034, 215.13963197754, 22.7763824687041), (265.038548976109, 202.005971236824, 20.4166806711649)]","[52.37252258290177, 44.31564387804691, 35.762497242754236, 49.94089913032291, 32.834929540427495, 30.876150764773794]","[(314.658338981432, 329.39087420736, 20.5538505961925), (298.346821327859, 275.488472837457, 20.5046064219481), (285.142134075514, 343.976376348549, 20.7926293331153), (323.282540998081, 313.630129053277, 19.5744763612551), (261.109166155983, 289.501555772689, 22.2305366888605), (272.297535783208, 285.217286443726, 20.2404470056079)]","[101.12269469302272, 44.85528802325106, 99.30270129257843, 88.98938712958247, 39.94753406909281, 43.241098155668325]"
43,CT16,11,0021,5.24161070561,8,"[(314.658338981432, 329.39087420736, 20.5538505961925), (304.215827652441, 324.665070650531, 18.2226773574099), (298.346821327859, 275.488472837457, 20.5046064219481), (285.142134075514, 343.976376348549, 20.7926293331153), (323.282540998081, 313.630129053277, 19.5744763612551), (261.109166155983, 289.501555772689, 22.2305366888605), (272.297535783208, 285.217286443726, 20.2404470056079), (282.866839736744, 265.393549437693, 18.664378192922)]","[10.701256413606663, 21.604526924838165, 10.29664527840236, 3.959900421298206, 6.900682500354394, 4.152800683830302, 14.736354305855464, 2.145506092957023]","[(240.339427609373, 178.348174446193, 19.6714602496796), (235.421422414714, 162.034128371696, 19.7970215840077), (258.19926991698, 189.779591296271, 19.5599063046159), (234.784246285225, 196.003004020233, 21.081429083904), (217.552988884034, 215.13963197754, 22.7763824687041), (199.382807725184, 146.838667334043, 18.9309203637542), (265.038548976109, 202.005971236824, 20.4166806711649)]","[93.48034537027307, 110.40737203969893, 76.5297558507127, 79.4745897493985, 72.07036760648121, 139.1142353252298, 62.971324744463104]"
44,CT16,11,0021,8.79641426739,8,"[(314.658338981432, 329.39087420736, 20.5538505961925), (304.215827652441, 324.665070650531, 18.2226773574099), (298.346821327859, 275.488472837457, 20.5046064219481), (285.142134075514, 343.976376348549, 20.7926293331153), (323.282540998081, 313.630129053277, 19.5744763612551), (261.109166155983, 289.501555772689, 22.2305366888605), (272.297535783208, 285.217286443726, 20.2404470056079), (282.866839736744, 265.393549437693, 18.664378192922)]","[30.518827291980593, 39.965223314246664, 28.062351989246924, 29.452917983455436, 41.00587952939844, 34.377398092848125, 46.31319253753038, 31.753694390580183]","[(240.339427609373, 178.348174446193, 19.6714602496796), (235.421422414714, 162.034128371696, 19.7970215840077), (258.19926991698, 189.779591296271, 19.5599063046159), (234.784246285225, 196.003004020233, 21.081429083904), (217.552988884034, 215.13963197754, 22.7763824687041), (199.382807725184, 146.838667334043, 18.9309203637542), (265.038548976109, 202.005971236824, 20.4166806711649)]","[59.88179441121968, 76.86473023132349, 43.471004845663934, 46.73335911989931, 38.4611718012511, 107.07672600589325, 29.772207283231378]"
45,CT16,19,0009,5.36193282274,5,"[(138.796710161819, 215.53875843182, 11.4547548840835), (87.837601375284, 176.649228100965, 9.40321008641489), (117.612966347012, 198.037480611053, 11.603524265158), (96.3565699517494, 167.485402954594, 8.36324435151846), (105.178507185715, 160.563905290422, 8.33589466720596)]","[11.859212353648434, 5.339759709667284, 25.333415968845593, 11.180087177057132, 13.247475164975384]","[(205.904911934264, 265.621294526443, 10.2464852253616), (239.946135170269, 254.294243829735, 11.8489277476907), (82.1337047936874, 82.6584374680246, 9.43451168053596)]","[71.52918178063479, 95.34094230305662, 66.38390790859265]"
46,CT16,19,0009,10.2787166319,5,"[(138.796710161819, 215.53875843182, 11.4547548840835), (87.837601375284, 176.649228100965, 9.40321008641489), (117.612966347012, 198.037480611053, 11.603524265158), (96.3565699517494, 167.485402954594, 8.36324435151846), (105.178507185715, 160.563905290422, 8.33589466720596)]","[32.69683196595204, 42.383845474485526, 46.369064418232874, 34.41644286833954, 28.715679891076743]","[(205.904911934264, 265.621294526443, 10.2464852253616), (239.946135170269, 254.294243829735, 11.8489277476907), (82.1337047936874, 82.6584374680246, 9.43451168053596)]","[30.10793192035587, 43.08356253013517, 48.19770949051616]"
47,CT16,4,0010,4.57503795069,2,"[(384.697892759418, 448.229155364525, 12.0513695422322), (407.323351841768, 434.811660333925, 7.46519897538235)]","[0.8885088565360163, 25.163597953575223]","[(89.3801873598369, 78.5079436028167, 10.8359136160802), (67.761792484459, 86.0841775178271, 12.156893943548), (60.1963485818638, 53.2274660737795, 9.95323848424474), (79.165359899855, 46.594014139304, 7.93390364344736), (122.289928274394, 65.4099803960163, 12.9604512552502), (354.295393302036, 400.800413704354, 10.0108387459812)]","[426.83670805874965, 436.16328659987295, 465.17156466474194, 457.60852182207975, 415.9131808546901, 19.38630254242258]"
48,CT16,4,0010,7.80698154022,3,"[(384.697892759418, 448.229155364525, 12.0513695422322), (354.295393302036, 400.800413704354, 10.0108387459812), (407.323351841768, 434.811660333925, 7.46519897538235)]","[18.50489570248832, 1.628746066636211, 42.26459008759572]","[(89.3801873598369, 78.5079436028167, 10.8359136160802), (67.761792484459, 86.0841775178271, 12.156893943548), (60.1963485818638, 53.2274660737795, 9.95323848424474), (79.165359899855, 46.594014139304, 7.93390364344736), (122.289928274394, 65.4099803960163, 12.9604512552502)]","[399.2360519035123, 408.5820314231148, 437.5692307638188, 430.0304895071639, 388.43223693386255]"
49,CT16,4,0014,4.64470118014,3,"[(102.875240457231, 99.4583403561949, 16.2175595038525), (67.761792484459, 86.0841775178271, 12.156893943548), (122.289928274394, 65.4099803960163, 12.9604512552502)]","[23.197533717851027, 0.7300140295596709, 4.484588513045813]","[(384.697892759418, 448.229155364525, 12.0513695422322), (413.324185379409, 403.547188646831, 16.1853033233536)]","[417.97819655819086, 404.4992944608982]"
50,CT16,4,0014,7.53108128923,3,"[(102.875240457231, 99.4583403561949, 16.2175595038525), (67.761792484459, 86.0841775178271, 12.156893943548), (122.289928274394, 65.4099803960163, 12.9604512552502)]","[34.16424068368944, 22.791879922530846, 23.836890895618115]","[(384.697892759418, 448.229155364525, 12.0513695422322), (413.324185379409, 403.547188646831, 16.1853033233536)]","[394.6351513735323, 377.09962485266584]"
