 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
101,CT4,16,0007,4.20917350103,0,[],[],"[(73.6838414526688, 100.244467791008, 6.15277312948645), (209.558704333036, 202.512780052618, 7.37320420274149)]","[72.3560045789526, 81.57479099066634]"
102,CT4,16,0007,7.12568346785,0,[],[],"[(73.6838414526688, 100.244467791008, 6.15277312948645), (209.558704333036, 202.512780052618, 7.37320420274149)]","[61.84775496967398, 40.27053310919381]"
103,CT4,1,0011,4.51640973111,1,"[(68.9321775661892, 135.316970207068, 10.8474245772832)]",[16.554269462251536],"[(225.218546480099, 178.910398748377, 11.6482522570258)]",[92.28300554047703]
104,CT4,1,0011,6.89018924988,1,"[(68.9321775661892, 135.316970207068, 10.8474245772832)]",[22.14492334428235],"[(225.218546480099, 178.910398748377, 11.6482522570258)]",[75.0308600943419]
105,CT4,1,0017,4.44319229161,0,[],[],[],[]
106,CT4,1,0017,7.24893640751,0,[],[],[],[]
107,CT4,2,0008,6.25684967854,2,"[(197.976562238863, 173.160296470527, 7.92571221810269), (130.700659407176, 182.897809746264, 7.79162288066058)]","[23.206157377976357, 2.2091765688933087]",[],[]
108,CT4,2,0008,10.3070703817,2,"[(197.976562238863, 173.160296470527, 7.92571221810269), (130.700659407176, 182.897809746264, 7.79162288066058)]","[49.622220502525245, 22.19238887080152]",[],[]
109,CT4,5,0008,5.73163235269,0,[],[],"[(261.366942808716, 236.237029681726, 7.21787948429446), (221.267954927384, 245.443672616664, 8.97575812023654)]","[8.769508291580502, 23.853144289921016]"
110,CT4,5,0008,10.05517329,1,"[(261.366942808716, 236.237029681726, 7.21787948429446)]",[16.303151440304607],"[(221.267954927384, 245.443672616664, 8.97575812023654)]",[13.591492882976004]
111,CT4,5,0017,5.97605320281,0,[],[],"[(322.782887470954, 163.796579059107, 16.885720802179), (134.907323920854, 167.614663060733, 17.5134185753299), (114.532972417827, 275.242571001662, 17.1749475888542)]","[116.42129193331901, 14.693182292953564, 27.939578106573517]"
112,CT4,5,0017,11.7770925201,2,"[(134.907323920854, 167.614663060733, 17.5134185753299), (114.532972417827, 275.242571001662, 17.1749475888542)]","[22.856989475656935, 15.900968986058515]","[(322.782887470954, 163.796579059107, 16.885720802179)]",[72.41280816645907]
113,CT4,14,0009,4.36283223918,2,"[(282.82070495109, 300.354602156289, 8.24025990838075), (282.465745380742, 279.622771130061, 9.75625332812148)]","[5.983048166408121, 9.229686728522138]",[],[]
114,CT4,14,0009,7.47728026716,2,"[(282.82070495109, 300.354602156289, 8.24025990838075), (282.465745380742, 279.622771130061, 9.75625332812148)]","[32.15741213606742, 29.786446621802533]",[],[]
